column_name,data_type,bucket,priority,n_nonnull,evidence,sample,proposed_action,cf_tag,bucket_order,priority_order
syn_margin_distance_mm_raw_str,VARCHAR,VARCHAR-with-units,high,10869,"n_with_units=2/10,869; n_with_alpha=9,521/10,869",<1 mm,retype DOUBLE + extract/normalize units in mig_169b after approval,CF-mig169-DTYPE-VARCHAR-WITH-UNITS-syn_margin_distance_mm_raw_str,1,1
syn_left_lobe_size_cm,VARCHAR,VARCHAR-with-units,high,7204,"n_with_units=1,363/7,204; n_with_alpha=7,203/7,204","(4.0 cm superior to inferior by 2.0 cm transverse by 1.6 cm anterior to posteri… | 2.0 cm medial to lateral by 2.2 cm superior-inferior by 0.5 cm anterior to post… | 4.4 cm from superior pole to inferior pole, 2.2 cm from medial to lateral, and … | 4.4 cm in superior pole to inferior pole, 2.6 cm from medial to lateral, 1.0 cm… | 7.5 cm superior to inferior by 4.0 cm transverse by 3.0 cm anterior to posterio…",retype DOUBLE + extract/normalize units in mig_169b after approval,CF-mig169-DTYPE-VARCHAR-WITH-UNITS-syn_left_lobe_size_cm,1,1
syn_right_lobe_size_cm,VARCHAR,VARCHAR-with-units,high,7058,"n_with_units=1,372/7,058; n_with_alpha=7,057/7,058","3.5 cm superior to inferior by 3.0 cm transverse by 1.5 cm anterior to posterior | 5.3 cm superior-inferior by 3.3 cm transverse by 2.4 cm anterior-posterior | 3.8 cm in superior pole to inferior pole, 2.4 cm from medial to lateral, and 2.… | 4.5 x 3.5 x 2.4 cm) | 3.9 cm superior to inferior, 3.2 cm transversely, and 2.9 cm anterior to poster…",retype DOUBLE + extract/normalize units in mig_169b after approval,CF-mig169-DTYPE-VARCHAR-WITH-UNITS-syn_right_lobe_size_cm,1,1
syn_isthmus_size_cm,VARCHAR,VARCHAR-with-units,high,3981,"n_with_units=588/3,981; n_with_alpha=3,959/3,981","3.0 ML x 2.0 SI x 0.5 | 2.7 x 2.2 x 0.6 cm) | 4.5 cm superior to inferior by 3.0 cm transverse by 2.5 cm anterior to posterior | 4.4 x 1.3 x 0.8 cm. | 3.1 cm from superior to inferior, 2.2 cm from right to left lateral and 1.0 cm …",retype DOUBLE + extract/normalize units in mig_169b after approval,CF-mig169-DTYPE-VARCHAR-WITH-UNITS-syn_isthmus_size_cm,1,1
ops_max_diameter_cm,VARCHAR,VARCHAR-with-units,high,1868,"n_with_units=543/1,868; n_with_alpha=589/1,868",2.5 cm LL; 1 cm RL | 2 cm | 4 cm | 1 cm | 5 cm,retype DOUBLE + extract/normalize units in mig_169b after approval,CF-mig169-DTYPE-VARCHAR-WITH-UNITS-ops_max_diameter_cm,1,1
ops_preop_nodules_count_size,VARCHAR,VARCHAR-with-units,high,47,n_with_units=8/47; n_with_alpha=16/47,"2 nodules; RL 0.7 cm PTC; LL 4 cm Adenoma | 2: 5 cm RL, 1.5 cm isthmus | 2; 4 cm LL; 1 cm RL | 2 (3.5; 1.5 cm Upper left | 2; 3 cm, 2 cm adjacent",retype DOUBLE + extract/normalize units in mig_169b after approval,CF-mig169-DTYPE-VARCHAR-WITH-UNITS-ops_preop_nodules_count_size,1,1
ops_dominant_nodule_size_us,VARCHAR,VARCHAR-with-units,high,5,n_with_units=4/5; n_with_alpha=5/5,8 cm | 1.5 cm round nodule | 1 cm | 3.7 x 2.3 x 1.9 cm solitary mass,retype DOUBLE + extract/normalize units in mig_169b after approval,CF-mig169-DTYPE-VARCHAR-WITH-UNITS-ops_dominant_nodule_size_us,1,1
ops_surg_date,VARCHAR,VARCHAR-date-column,high,8732,"date-name column stored as VARCHAR; n_date_parseable=8,731/8,732",03/29/2000 | 09/27/2000 | 07/11/2000 | 07/03/2007 | 03/13/2007,retype DATE or document as non-date label in mig_169b after approval,CF-mig169-DTYPE-VARCHAR-DATE-ops_surg_date,2,1
nsqip_admission_date,VARCHAR,VARCHAR-date-column,high,1261,"date-name column stored as VARCHAR; n_date_parseable=1,261/1,261",12/11/2023 | 03/01/2023 | 06/13/2023 | 07/27/2023 | 08/15/2024,retype DATE or document as non-date label in mig_169b after approval,CF-mig169-DTYPE-VARCHAR-DATE-nsqip_admission_date,2,1
nsqip_discharge_date,VARCHAR,VARCHAR-date-column,high,1261,"date-name column stored as VARCHAR; n_date_parseable=1,261/1,261",12/11/2023 | 03/01/2023 | 06/13/2023 | 07/27/2023 | 08/16/2024,retype DATE or document as non-date label in mig_169b after approval,CF-mig169-DTYPE-VARCHAR-DATE-nsqip_discharge_date,2,1
